Timestamp,What is your primary role within the company?,How many years of professional software development experience do you have?,Which programming languages do you regularly use for development? (Select all that apply),"For the programming languages you selected above, which associated build tools, package managers, or frameworks do you regularly use?",Which Integrated Development Environments (IDEs) or code editors do you primarily use for development? (Select all that apply),How familiar are you with Artificial Intelligence (AI) technologies in general?,"Have you used any AI-powered tools or services to aid your work? (e.g., ChatGPT, Copilot for general tasks, other generative AI models).","If ""Yes"" to the previous question, which general AI tools have you used in your development workflow? (e.g., ChatGPT, Copilot for general tasks, other generative AI models). Please specify how you use them.",What tasks do you primarily use general AI tools for? (Select all that apply),AI tools significantly improve my productivity.,AI tools help me write higher quality code.,I trust the output generated by AI tools.,I am concerned about data privacy when using AI tools for work.,"Are you currently using an AI-powered IDE or an IDE with integrated AI coding assistants (e.g., Cursor, GitHub Copilot, others)?",Which AI-powered IDE(s) or integrated AI assistant(s) do you use? (Select all that apply),"""Ask"" mode (Natural language queries for code, explanations)","""Edit"" mode (AI-assisted refactoring, bug fixing, code modification)","""Agent"" mode (AI autonomously performs tasks based on high-level instructions)",Generating unit tests,Generating code comments/documentation,AI-powered IDEs/assistants make me more productive.,AI-powered IDEs/assistants help me learn new APIs/libraries faster.,The code generated by AI-powered IDEs/assistants is generally high quality.,The code generated by AI-powered IDEs/assistants is generally high quality.,I spend less time searching for solutions online when using an AI-powered IDE/assistant.,I find myself relying too much on AI-powered IDEs/assistants.,The AI features integrate seamlessly with my existing workflow.,I am concerned about the security of my code/data when using cloud-based AI IDEs/assistants.,What are the biggest challenges or frustrations you face when using AI-powered IDEs/assistants?,Do you have any other comments or suggestions regarding the use of AI tools or AI-powered IDEs in our company?,What are the primary reasons you are NOT using an AI-powered IDE or integrated AI assistant? (Select all that apply),Do you have any other comments or suggestions regarding the use of AI tools or AI-powered IDEs in our company?,"Which general AI tools have you used in your development workflow? (e.g., ChatGPT, Copilot for general tasks, other generative AI models)."
6/23/2025 8:11:17,Software Developer (Backend),More than 10 years,"C#, JavaScript, Python",C#,"VS Code, Visual Studio, Sublime Text",Very familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance, Writing documentation/comments, Refactoring code, Summarizing content",4,3,3,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,3,2,2,3,3,3,,3,3,3,3,"Sometimes the prompts I write aren't the best, and I need to improve them.",,,,"ChatGpt, Copilot"
6/23/2025 14:41:16,Software Developer (Frontend),More than 10 years,"C#, JavaScript, TypeScript, Python","TypeScript, JavaScript, C#","VS Code, IntelliJ IDEA, Eclipse, Visual Studio",Slightly familiar,No,,,,,,,No,,,,,,,,,,,,,,,,,"Security concerns / Company policy restrictions, Cost/Licensing concerns",,
6/23/2025 14:43:55,Software Developer (Frontend),4-6 years,"JavaScript, TypeScript","Vite, npm, yarn, React, VueJs, tsc","VS Code, Cursor",Very familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance, Writing documentation/comments, Brainstorming ideas",3,2,2,2,Yes,"Cursor, GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,3,2,2,3,2,2,,3,2,2,2,reviewing the code quality,,,,"Cursor, ChatGPT, Copilot, GitKraken"
6/23/2025 14:46:13,Software Developer (Backend),More than 10 years,C#,".Net Core, .Net Framework","VS Code, Visual Studio",Slightly familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance, Writing documentation/comments, Learning new concepts/technologies, Summarizing content, Proofreading (grammar, spelling)",3,3,3,3,No,,,,,,,,,,,,,,,,,Cost/Licensing concerns,,ChatGPT
6/23/2025 14:46:24,Software Developer (Frontend),7-10 years,"JavaScript, TypeScript","VueJS, node, npm, yarn, lerna",VS Code,Slightly familiar,Yes,,Generating code snippets,3,3,2,4,No,,,,,,,,,,,,,,,,,"Security concerns / Company policy restrictions, Cost/Licensing concerns",On the project I work the customer gives Copilot licenses only to their employees and not to their contractors (us). I really would like to have access to an AI powered IDE but it seems that because of this disparity we are in a disadvantaged position.,ChatGPT
6/23/2025 14:47:07,Software Developer (Frontend),7-10 years,"Java, TypeScript",-,"VS Code, IntelliJ IDEA",Not familiar at all,Yes,,"Learning new concepts/technologies, Brainstorming ideas",2,2,1,4,No,,,,,,,,,,,,,,,,,Not familiar with them,-,ChatGPT
6/23/2025 14:48:01,Software Developer (Frontend),4-6 years,"C#, JavaScript, TypeScript, Go","Npm, yarn, nuget","VS Code, Visual Studio",Slightly familiar,Yes,,"Explaining code, Writing documentation/comments",4,4,2,4,No,,,,,,,,,,,,,,,,,Not familiar with them,,"Chatgpt, copilot, deepseek"
6/23/2025 14:49:35,Full-stack Developer,7-10 years,"Java, C#, JavaScript, TypeScript","Java: Maven, VS Code
C#: ASP.Net Core, Entity Framework Core, VS Code, NuGet
JS/TS: React, Angular, VS Code, npm, pnpm","VS Code, Eclipse, Visual Studio, Sublime Text",Slightly familiar,Yes,,"Generating code snippets, Explaining code, Writing documentation/comments, Refactoring code, Learning new concepts/technologies",4,3,2,2,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,2,1,2,3,4,4,2,,4,2,3,2,"Once using it to generate/refactor code, it don't really think (the way I've been using it) it just gives a solution for the prompt/question made but overrides a lot of important custom code already developed","My client gave us Github copilot but I haven't look for any material yet for the best way to use it, it will be nice getting AI tips and guides from the ones more experienced using it",,,"ChatGPT, Copilot"
6/23/2025 14:51:30,Software Developer (Backend),7-10 years,"JavaScript, TypeScript, Python, bash","npm, eslint, AWS CDK and SDK","Visual Studio, WebStorm, Sublime Text",Very familiar,Yes,,"Generating code snippets, Explaining code, Writing documentation/comments, Learning new concepts/technologies, Brainstorming ideas, Summarizing content, Proofreading (grammar, spelling), Code reviews",4,4,3,4,Yes,CodeWhisperer (AWS),3,2,2,4,2,4,4,3,,4,4,4,4,"when you cannot integrate an AI because of permissions or incompatibilities, so it makes the automation a little slower.",it would be good to have access to AI courses and certifications. I am involved in AI every day.,,,"Chat GPT, Claude, Jetbrains AI"
6/23/2025 15:29:29,Software Developer (Backend),More than 10 years,"Java, JavaScript, TypeScript, Delphi",npm,"VS Code, IntelliJ IDEA, Sublime Text",Slightly familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance, Refactoring code, Brainstorming ideas, Proofreading (grammar, spelling)",4,4,2,4,No,,,,,,,,,,,,,,,,,"Security concerns / Company policy restrictions, Cost/Licensing concerns",,copilot
6/23/2025 15:32:10,Full-stack Developer,1-3 years,"JavaScript, PHP",composer and npm,"VS Code, PhpStorm",Very familiar,Yes,,"Generating code snippets, Writing documentation/comments, Refactoring code, Brainstorming ideas, Proofreading (grammar, spelling)",4,4,2,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,2,1,1,3,4,4,3,,3,2,3,4,"In many occasions it uses functions that do not exist, especially in complex frameworks.",,,,"ChatGPT, GitHub Copilot"
6/23/2025 15:39:54,Data Scientist / AI / Machine Learning Engineer,Less than 1 year,Python,"Package manager: uv
Frameworks: LangChain (langGraph, LangSmith, LangChain),  FastAPI",VS Code,Very familiar,Yes,,"Generating code snippets, Debugging assistance, Writing documentation/comments, Refactoring code, Learning new concepts/technologies",3,2,1,4,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,2,1,1,4,3,1,2,,1,3,3,2,"As part of their stochastic nature, they are sometimes really useful predicting what am i about to do or write, and other times, they make terrible predictions and become an obstacle that even slows me down.",,,,"ChatGPT
Copiloy (Chat and auto-completing)"
6/23/2025 15:39:56,Software Developer (Backend),More than 10 years,"Python, PHP",composer,PHPStorm,Very familiar,Yes,,"Explaining code, Debugging assistance, Learning new concepts/technologies, Summarizing content",3,3,2,3,No,,,,,,,,,,,,,,,,,My current IDE/tools are sufficient,,"ChatGPT, Claude"
6/23/2025 15:40:12,Software Developer (Frontend),More than 10 years,"JavaScript, TypeScript","Vite, React, NextJS","VS Code, Cursor ",Extremely familiar,Yes,,"Explaining code, Debugging assistance, Writing documentation/comments, Refactoring code, Learning new concepts/technologies, Brainstorming ideas, Summarizing content, Proofreading (grammar, spelling), Admin development stuff ",1,1,2,3,Yes,"Cursor, GitHub Copilot (within VS Code, JetBrains, etc.), Warp",4,3,3,4,4,4,3,2,,4,2,4,2,The highest price of the good tools,No for now,,,"Warp, ChatGPT, Claude code + cursor, vscode+copilot lovable"
6/23/2025 15:41:46,Full-stack Developer,More than 10 years,"Java, C#, JavaScript, TypeScript, Python, C++","The most common, npm, pip and others ","VS Code, Eclipse, PyCharm, NeoVim, Sublime Text",Very familiar,Yes,,"Writing documentation/comments, Learning new concepts/technologies, Brainstorming ideas, Summarizing content",3,4,2,4,No,,,,,,,,,,,,,,,,,"Security concerns / Company policy restrictions, Worried about code quality/correctness, Prefer to write code without AI assistance",,ChatGPT / Gemini
6/23/2025 15:46:55,QA Engineer / Tester,7-10 years,"JavaScript, TypeScript",NA,"VS Code, IntelliJ IDEA, Eclipse",Extremely familiar,Yes,,"Writing documentation/comments, Brainstorming ideas, Summarizing content, ",4,3,2,3,Yes,Mindstudio,2,2,2,1,1,3,3,3,,3,2,2,3,Client limitations to use it,No,,,Anthropic
6/23/2025 15:47:13,Full-stack Developer,4-6 years,"JavaScript, PHP",Composer,"VS Code, PHPStorm",Extremely familiar,Yes,,"Generating code snippets, Explaining code, Writing documentation/comments, Learning new concepts/technologies, Brainstorming ideas, Summarizing content",4,2,2,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,3,1,4,4,4,2,,4,3,4,2,They often don't provide the optimal solution. We need to take the code AI generated and improve it. ,,,,"ChatGPT, Github Copilot"
6/23/2025 15:49:45,Full-stack Developer,More than 10 years,"Java, JavaScript, TypeScript, Python","Springboot, React, Vue, FastAPI, NodeJs","VS Code, IntelliJ IDEA",Very familiar,Yes,,"Generating code snippets, Explaining code, Writing documentation/comments, Refactoring code, Learning new concepts/technologies, Brainstorming ideas, Summarizing content",4,4,1,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,3,3,3,4,4,2,,4,2,3,3,"hallucinations, lack of awareness of project particulars",Copilot Workspace should be studied.,,,"ChatGPT, Gemini, Copilot"
6/23/2025 15:50:58,Software Developer (Frontend),4-6 years,"JavaScript, TypeScript","React, react native",VS Code,Very familiar,Yes,,"Generating code snippets, Proofreading (grammar, spelling)",3,3,2,4,Yes,"Cursor, GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,2,3,3,4,4,4,,4,2,3,3,Ignoring existing code to generate new one,,,,ChatGPT Copilot Cursor Gemini 
6/23/2025 15:52:12,Software Developer (Backend),More than 10 years,"JavaScript, TypeScript, Python, Go, PHP","npm, pip, composer","VS Code, PyCharm, WebStorm",Slightly familiar,Yes,,"Generating code snippets, Refactoring code, Proofreading (grammar, spelling)",3,3,3,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,2,1,2,2,3,3,2,,2,3,2,3,AI understand the task,,,,"Chatgpt, copilot"
6/23/2025 15:56:15,Full-stack Developer,4-6 years,"JavaScript, TypeScript, Python, PHP","Django, Laravel, Wordpress, React, Vue","PyCharm, WebStorm",Extremely familiar,Yes,,"Writing documentation/comments, Refactoring code, Learning new concepts/technologies, Proofreading (grammar, spelling)",4,4,2,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,2,2,3,4,3,3,3,,3,2,3,3,"Sometimes, it can generate invalid snippets of code that make debugging more difficult.",N/A,,,Claude
6/23/2025 16:10:06,QA Engineer / Tester,4-6 years,"Java, C#, JavaScript, Python",playwright,"VS Code, IntelliJ IDEA, Visual Studio",Very familiar,Yes,,"Writing documentation/comments, Learning new concepts/technologies, Brainstorming ideas, Summarizing content",4,2,1,4,No,,,,,,,,,,,,,,,,,"Worried about code quality/correctness, My current IDE/tools are sufficient",,"Copilot, Chat2DB"
6/23/2025 16:11:36,Software Developer (Frontend),7-10 years,"JavaScript, TypeScript","React, npm",VS Code,Very familiar,Yes,,"Generating code snippets, Explaining code, Unit testing",4,3,3,1,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,4,1,4,1,3,3,3,,4,3,2,1,"Find the correct words for the AI to understand the problem, don’t think that AI works really great for specific bugs",Will be helpful for repetitive tasks ,,,"Github copilot, chatgpt"
6/23/2025 16:11:37,Data Scientist / AI / Machine Learning Engineer,More than 10 years,"Python, Go","pandas, polars, pyspark, sckiti learn, dbt",VS Code,Extremely familiar,Yes,,"Debugging assistance, Writing documentation/comments, Refactoring code, Learning new concepts/technologies, Brainstorming ideas, Proofreading (grammar, spelling)",4,4,4,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,2,3,2,3,3,2,,2,2,3,2,sometimes I don't need them and I have to disable after I noteiced is generating code for me,no,,,"Cloude, ChatGPT, and Copilot"
6/23/2025 16:16:20,Software Developer (Backend),7-10 years,"JavaScript, TypeScript",npm,VS Code,Very familiar,Yes,,"Generating code snippets, Explaining code, Refactoring code, Learning new concepts/technologies, Brainstorming ideas, Summarizing content, Proofreading (grammar, spelling)",4,4,2,4,Yes,"Cursor, Windsurf (or similar proprietary company tool if applicable), GitHub Copilot (within VS Code, JetBrains, etc.)",4,3,3,2,1,4,4,3,,4,2,3,3,I don't know what to say... they most of the time are very easy to use.,no,,,"Chatgpt, copilot, gemini, claude, perplexity, etc"
6/23/2025 16:16:22,Software Developer (Backend),7-10 years,TypeScript,"AWS CDK, NodeJS",VS Code,Extremely familiar,Yes,,"Explaining code, Debugging assistance, Writing documentation/comments, Learning new concepts/technologies",3,2,2,2,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,1,2,3,3,3,2,,3,1,2,2,Code Quality,,,,"ChatGPT, Copilot"
6/23/2025 16:41:51,Software Developer (Backend),More than 10 years,TypeScript,"TSC, ESBuild",VS Code,Very familiar,Yes,,"Learning new concepts/technologies, Brainstorming ideas",3,3,3,4,No,,,,,,,,,,,,,,,,,"Security concerns / Company policy restrictions, Worried about code quality/correctness, Prefer to write code without AI assistance","I'd like to understand the company policy about AI, if there's any.",ChatGPT
6/23/2025 16:46:03,Software Developer (Backend),7-10 years,"JavaScript, TypeScript",Node js ,WebStorm,Slightly familiar,Yes,,"Generating code snippets, Writing documentation/comments, Summarizing content",2,1,2,4,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",2,1,3,2,4,2,2,1,,4,2,3,4,Sometimes it generates code that I don’t like and I end up doing it myself ,,,,Copilot
6/23/2025 17:22:40,Software Developer (Frontend),More than 10 years,"JavaScript, PHP",Wordpress,PHPStorm,Slightly familiar,Yes,,Learning new concepts/technologies,3,3,2,3,No,,,,,,,,,,,,,,,,,My current IDE/tools are sufficient,,ChatGPT
6/23/2025 18:24:27,Software Developer (Frontend),More than 10 years,"JavaScript, TypeScript, Ruby","NPM, PNPM, React",VS Code,Slightly familiar,No,,,,,,,No,,,,,,,,,,,,,,,,,Security concerns / Company policy restrictions,,
6/24/2025 7:05:34,UX/UI Designer,1-3 years,N/A,do not work with programming languages or development tools directly.,N/A,Slightly familiar,Yes,,"Brainstorming ideas, Summarizing content, Proofreading (grammar, spelling)",3,3,3,3,No,,,,,,,,,,,,,,,,,Not familiar with them,"I see value in AI tools for design and content support, and I’m open to exploring how they can improve team collaboration","ChatGPT, for brainstorming, content suggestions, and UX writing support"
6/24/2025 8:18:30,Software Developer (Backend),More than 10 years,"Java, C#, JavaScript, TypeScript","NPM, Microsoft Nuggets","VS Code, Eclipse, Visual Studio",Slightly familiar,Yes,,"Generating code snippets, Writing documentation/comments, Refactoring code, Brainstorming ideas, Summarizing content",2,3,2,2,No,,,,,,,,,,,,,,,,,"Not familiar with them, Don't see a clear benefit/value, Worried about code quality/correctness, My current IDE/tools are sufficient",,ChatGPT
6/24/2025 9:25:10,Full-stack Developer,More than 10 years,"JavaScript, PHP","Wordpress, jquery",VS Code,Slightly familiar,Yes,,"Generating code snippets, Explaining code, Debugging assistance",4,4,3,3,No,,,,,,,,,,,,,,,,,Not familiar with them,no for now,ChatGPT
6/24/2025 10:04:05,Software Developer (Frontend),4-6 years,"JavaScript, TypeScript",React and React Native,VS Code,Slightly familiar,Yes,,"Generating code snippets, Debugging assistance, Learning new concepts/technologies, Brainstorming ideas",3,3,2,2,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",2,3,1,3,2,3,3,3,,4,2,3,2,I haven't think about it,No,,,Copilot and Chat GPT
6/24/2025 13:25:02,Data Scientist / AI / Machine Learning Engineer,7-10 years,"Java, JavaScript, TypeScript, Python","Node, CDK",VS Code,Very familiar,Yes,,"Debugging assistance, Summarizing content",3,2,1,4,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",2,1,1,1,2,3,4,2,,3,1,2,4,How inconsistent the code quality is. most of the time giving unusable code or ideas,,,,Github Copilot
6/24/2025 17:14:07,Full-stack Developer,More than 10 years,"Java, JavaScript, TypeScript, Python","Springboot, NodeJs, React, VueJs, Flask, FastAPI","VS Code, IntelliJ IDEA",Very familiar,Yes,,"Generating code snippets, Explaining code, Writing documentation/comments, Refactoring code, Learning new concepts/technologies, Summarizing content",4,4,1,3,Yes,"GitHub Copilot (within VS Code, JetBrains, etc.)",3,3,3,3,3,4,4,4,,4,2,2,3,"Halucinations, Lack of awareness of particular context",Copilot Workspace,,,"ChatGPT, Gemini, Copilot"
